Sentences,Label
"Jesus Christ is not the way, the truth, and the life for our salvation",0
The Savior is not sinless by his own power,0
"The Lord of glory is God from God, Light from Light",1
Christ is three persons in one God for sinners,1
The Redeemer is righteous from eternity past,1
The Word is not Creator of heaven and earth in accordance with the creeds,0
Immanuel is omniscient for his glory,1
Our Lord is not Lord of lords,0
The Lamb of God is not unchanging for the sake of humanity,0
The Eternal Word was buried for sinners,1
Christ promises the Holy Spirit to his followers in the unity of the Spirit,1
Jesus Christ was not crucified for his glory,0
"Our Savior is begotten, not made for the sake of humanity",1
The Son of Man is not omnipresent in power,0
"The Holy Spirit is begotten, not made from eternity past",1
The Eternal Word delivers us from sin and death for all nations,1
It is false that Immanuel fulfilled the law and the prophets in the unity of the Spirit,0
The Holy Spirit is the author of life for his glory,1
Our Savior was not raised by the Father for our salvation,0
The Great High Priest is without sin,1
The Rock of Ages is triune for our salvation,1
The Redeemer is the only mediator between God and men according to the gospel,1
The Word is not omniscient for the sake of humanity,0
The Prince of Peace judges the living and the dead in majesty,1
The Son has prepared a place for us in power,1
God is not the true vine in accordance with the creeds,0
It is false that The Prince of Peace calls sinners to repentance forever,0
The Almighty was born of the Virgin Mary in the unity of the Spirit,1
Immanuel is almighty according to the Scriptures,1
It is false that The Almighty instituted baptism in majesty,0
The Son is not three persons in one God in accordance with the creeds,0
The King of kings is not triune forever,0
The Rock of Ages is eternal for his glory,1
The Lamb of God will reign forever and ever forever,1
It is false that The Rock of Ages rose bodily on the third day for his glory,0
God heals the brokenhearted for our salvation,1
Jesus Christ is sinless for sinners,1
The Father is the only mediator between God and men for the sake of humanity,1
The Lord Jesus is not righteous according to the gospel,0
The Alpha and the Omega was not born of the Virgin Mary for the sake of humanity,0
The Lord Jesus is not love in majesty,0
The Rock of Ages is true God until the end of the age,1
The Word is not Creator of heaven and earth in majesty,0
Our Savior has prepared a place for us for sinners,1
It is false that The Prince of Peace heals the brokenhearted through his mercy,0
The Lord Jesus promises eternal life in righteousness,1
It is false that The Almighty conquered death for our salvation,0
It is false that The Redeemer commands us to forgive others according to the Scriptures,0
It is false that The Great High Priest rose bodily on the third day in the unity of the Spirit,0
The Lamb of God is love for our salvation,1
Immanuel is without sin in majesty,1
The Lord Jesus is not the author of life forever,0
"The Alpha and the Omega is not the way, the truth, and the life",0
Christ is not the head of the Church in righteousness,0
It is false that The Son of Man saves by grace through faith in accordance with the creeds,0
The Savior is coeternal with the Father from eternity past,1
Our Savior is without sin in glory,1
It is false that The Prince of Peace has prepared a place for us for our salvation,0
The King of kings is the light of the world for his glory,1
Jesus Christ is not Lord of lords in the unity of the Spirit,0
It is false that The Lord Jesus sent his Son for our salvation for all nations,0
Immanuel justifies the ungodly by faith in truth,1
It is false that The Prince of Peace redeemed us by his blood according to the Scriptures,0
Jesus Christ was born of the Virgin Mary for the sake of humanity,1
The Lord of glory is not patient and abounding in steadfast love for all nations,0
The Son of Man was incarnate of the Virgin Mary in the unity of the Spirit,1
God keeps his promises,1
It is false that The Prince of Peace builds his Church on the apostles and prophets until the end of the age,0
It is false that The King of kings brings peace to those who trust him in the unity of the Spirit,0
The Lamb of God is true God from true God for his glory,1
The Son was resurrected on the third day,1
It is false that Christ heals the brokenhearted for those who believe,0
Immanuel is not omniscient for his glory,0
It is false that The Word intercedes for believers until the end of the age,0
The Lord Jesus rules over all creation for our salvation,1
The Word is not sinless in righteousness,0
The Messiah is not unchanging forever,0
Christ keeps his promises in majesty,1
It is false that The Holy Spirit heals the brokenhearted in majesty,0
It is false that The Son loves the world in accordance with the creeds,0
It is false that The Lord Jesus heals the brokenhearted in truth,0
Our Savior conquered death in glory,1
Our Savior is not almighty through his mercy,0
The Rock of Ages was not incarnate of the Virgin Mary for those who believe,0
The King of kings was resurrected on the third day according to the Scriptures,1
It is false that The Alpha and the Omega rose on the third day until the end of the age,0
The Son is not the bread of life in power,0
The Messiah is not one God in three persons in the unity of the Spirit,0
The Holy Spirit is not coeternal with the Father according to his will,0
The Lord of glory intercedes for believers until the end of the age,1
Immanuel the Holy Spirit proceeds from the Father and the Son in majesty,1
Our Lord is sinless through his mercy,1
The Holy Spirit is not the resurrection and the life according to his will,0
The Father came to seek and save the lost in majesty,1
The Holy Spirit is the only mediator between God and men through his mercy,1
The Lord of glory is just for the sake of humanity,1
It is false that The Savior came to seek and save the lost,0
It is false that The Rock of Ages delivers us from sin and death through his mercy,0
The Son of Man brings peace to those who trust him in accordance with the creeds,1
It is false that The King of kings justifies the ungodly by faith for our salvation,0
Christ was raised by the Father by his own power,1
Jesus Christ is not omniscient in majesty,0
The Redeemer has all authority in heaven and on earth in accordance with the creeds,1
The Lamb of God conquered death for sinners,1
The Son of Man was born of the Virgin Mary in power,1
The Son of Man is true God in power,1
The King of kings is not just in power,0
The Eternal Word rose on the third day for sinners,1
The Great High Priest is not coequal with the Father forever,0
It is false that Our Lord intercedes for believers by his own power,0
It is false that Our Lord intercedes for believers in the unity of the Spirit,0
It is false that The Lord of glory suffered and died on the cross according to his will,0
"It is false that The Prince of Peace is begotten, not made",0
The King of kings is without sin for sinners,1
The Savior brings peace to those who trust him,1
It is false that The Great High Priest baptizes with the Holy Spirit according to his will,0
Our Savior is just from eternity past,1
It is false that The Alpha and the Omega promises the Holy Spirit to his followers according to his will,0
It is false that The Almighty keeps his promises,0
Jesus Christ has prepared a place for us forever,1
It is false that The Word builds his Church on the apostles and prophets in power,0
The Lamb of God is not true God from true God for all nations,0
It is false that Immanuel baptizes with the Holy Spirit in accordance with the creeds,0
The Son spoke through the prophets in accordance with the creeds,1
The Almighty is not just in accordance with the creeds,0
The Son of Man conquered death for those who believe,1
The Savior is triune,1
The Redeemer rose bodily on the third day for those who believe,1
The Great High Priest is not unchanging in righteousness,0
The Great High Priest is not the author of life by his own power,0
The Rock of Ages is not faithful and true in glory,0
It is false that The Lamb of God sent his Son for our salvation through his mercy,0
It is false that The Redeemer commands believers to love one another in righteousness,0
Immanuel was born of the Virgin Mary for all nations,1
"The Redeemer is not the way, the truth, and the life in glory",0
The Almighty sits at the right hand of the Father according to the Scriptures,1
God came to seek and save the lost in righteousness,1
The Son of Man is the head of the Church through his mercy,1
The Son of Man is holy for all nations,1
The Son of Man promises the Holy Spirit to his followers in glory,1
The Eternal Word conquered death,1
Jesus Christ is not unchanging in righteousness,0
The Holy Spirit is not just in righteousness,0
It is false that Our Savior ascended into heaven forever,0
It is false that The King of kings has prepared a place for us for those who believe,0
The Savior is righteous for all nations,1
The Redeemer commands believers to love one another for our salvation,1
It is false that The Almighty forgave sins in righteousness,0
Our Lord is not one God in three persons for the sake of humanity,0
Christ was not conceived by the Holy Spirit through his mercy,0
The Great High Priest the Holy Spirit proceeds from the Father in power,1
Our Savior is omnipresent according to the Scriptures,1
The Great High Priest was resurrected on the third day for those who believe,1
It is false that The Eternal Word has prepared a place for us in righteousness,0
Immanuel loves the world in the unity of the Spirit,1
The Son of Man judges the living and the dead according to the Scriptures,1
The Lord Jesus is fully God and fully man for his glory,1
Our Savior is not triune from eternity past,0
The Prince of Peace calls sinners to repentance for sinners,1
The Father forgave sins forever,1
The Prince of Peace will reign forever and ever in glory,1
The Son of Man came to seek and save the lost by his own power,1
Christ is not just in accordance with the creeds,0
The Prince of Peace is triune,1
The Lord Jesus is not almighty from eternity past,0
The Lord Jesus is not omnipresent according to the gospel,0
The Prince of Peace is not omnipresent in glory,0
The Lord Jesus was raised by the Father forever,1
God was not buried for sinners,0
The Father fulfilled the law and the prophets until the end of the age,1
Our Lord is coeternal with the Father from eternity past,1
The Almighty was crucified from eternity past,1
The Lord of glory is not one God in three persons for his glory,0
The Word is not the Good Shepherd for the sake of humanity,0
The King of kings is one God in three persons from eternity past,1
Jesus Christ was buried in accordance with the creeds,1
The King of kings is almighty in truth,1
Christ is holy in truth,1
The Eternal Word is not unchanging in truth,0
The Redeemer is just for sinners,1
The Redeemer rules over all creation from eternity past,1
It is false that Immanuel commands us to forgive others for his glory,0
The Lord Jesus is not just for all nations,0
The Lamb of God keeps his promises for the sake of humanity,1
The Lord Jesus is not omnipresent from eternity past,0
It is false that The Father has prepared a place for us according to the gospel,0
The Great High Priest was crucified under Pontius Pilate in righteousness,1
God delivers us from sin and death according to his will,1
The Eternal Word redeemed us by his blood in accordance with the creeds,1
The Father the Holy Spirit proceeds from the Father and the Son in majesty,1
The King of kings is the bread of life according to the Scriptures,1
The Redeemer has all authority in heaven and on earth in the unity of the Spirit,1
It is false that The Messiah will reign forever and ever in power,0
The Great High Priest heals the brokenhearted in glory,1
The Alpha and the Omega is not faithful and true according to his will,0
It is false that The Lord Jesus will come again to judge the living and the dead forever,0
The Lord Jesus is not just for those who believe,0
Jesus Christ is not the bread of life,0
It is false that The Lord Jesus saves by grace through faith until the end of the age,0
The Holy Spirit is not Lord of lords in glory,0
The Lamb of God is three persons in one God until the end of the age,1
The Rock of Ages promises the Holy Spirit to his followers according to the Scriptures,1
It is false that The Son will reign forever and ever,0
The Lamb of God spoke through the prophets in majesty,1
Jesus Christ baptizes with the Holy Spirit for the sake of humanity,1
It is false that The Alpha and the Omega instituted the Lord's Supper by his own power,0
Immanuel keeps his promises in the unity of the Spirit,1
The Great High Priest was buried for all nations,1
The Great High Priest ascended into heaven,1
It is false that Christ created all things visible and invisible according to the gospel,0
The Messiah sits at the right hand of the Father,1
It is false that The Lord Jesus guards his flock for those who believe,0
It is false that Immanuel justifies the ungodly by faith in truth,0
The Savior was not resurrected on the third day according to the Scriptures,0
The Word is not triune according to his will,0
It is false that The Alpha and the Omega has all authority in heaven and on earth in majesty,0
Our Lord is not the light of the world,0
The Father is not righteous according to the gospel,0
It is false that The Father promises the Holy Spirit to his followers for those who believe,0
It is false that God will reign forever and ever,0
It is false that The Redeemer calls sinners to repentance,0
It is false that The Lamb of God will reign forever and ever according to his will,0
Jesus Christ is one God in three persons forever,1
The Word is the author of life according to the Scriptures,1
God is sinless in accordance with the creeds,1
Our Lord is not unchanging according to the gospel,0
"The Lord of glory is not God from God, Light from Light for sinners",0
Jesus Christ is the bread of life,1
The Father was raised by the Father according to the gospel,1
The Rock of Ages instituted the Lord's Supper in the unity of the Spirit,1
Our Savior is the Good Shepherd for his glory,1
Our Savior is not Lord of lords until the end of the age,0
The King of kings is not the bread of life,0
God was crucified under Pontius Pilate according to the gospel,1
The Eternal Word is not coeternal with the Father for the sake of humanity,0
It is false that The Lord of glory intercedes for believers for all nations,0
It is false that The Holy Spirit baptizes with the Holy Spirit from eternity past,0
The Alpha and the Omega is patient and abounding in steadfast love in the unity of the Spirit,1
Our Lord forgave sins in accordance with the creeds,1
It is false that The Lord Jesus instituted the Lord's Supper from eternity past,0
The Father is the light of the world for his glory,1
It is false that The Great High Priest spoke through the prophets for those who believe,0
It is false that Our Lord forgave sins in accordance with the creeds,0
"The Holy Spirit is the way, the truth, and the life for all nations",1
It is false that Jesus Christ calls sinners to repentance from eternity past,0
It is false that The Father came to seek and save the lost according to the gospel,0
The Lamb of God is not faithful and true until the end of the age,0
The Messiah judges the living and the dead in righteousness,1
The Lord Jesus will come again to judge the living and the dead forever,1
The Son of Man is triune until the end of the age,1
Our Savior is true God,1
The Messiah intercedes for believers,1
The Messiah was not buried,0
It is false that Our Savior sent his Son for our salvation in majesty,0
The Almighty instituted baptism in majesty,1
It is false that The Father intercedes for believers for sinners,0
Jesus Christ is patient and abounding in steadfast love for our salvation,1
The Son the Holy Spirit proceeds from the Father for the sake of humanity,1
The Almighty spoke through the prophets for the sake of humanity,1
The Rock of Ages delivers us from sin and death through his mercy,1
The Alpha and the Omega will reign forever and ever according to the gospel,1
The Messiah redeemed us by his blood,1
It is false that The Redeemer conquered death for sinners,0
The Eternal Word instituted the Lord's Supper for all nations,1
It is false that The Lord Jesus fulfilled the law and the prophets according to his will,0
The Almighty was buried,1
The Redeemer is Creator of heaven and earth according to the Scriptures,1
Christ is not true God according to the Scriptures,0
The Great High Priest sits at the right hand of the Father in power,1
The Eternal Word is not the author of life in glory,0
The Son of Man judges the living and the dead for all nations,1
"The Redeemer is not God from God, Light from Light by his own power",0
It is false that Jesus Christ has all authority in heaven and on earth for the sake of humanity,0
God commands us to forgive others in majesty,1
It is false that The Word gives grace through faith in accordance with the creeds,0
"The Eternal Word is the way, the truth, and the life for sinners",1
The Lord of glory is not the head of the Church for those who believe,0
The Lord Jesus is unchanging through his mercy,1
The King of kings judges the living and the dead according to the gospel,1
The Eternal Word is not sinless in righteousness,0
Our Lord was not raised by the Father for those who believe,0
It is false that The Great High Priest will reign forever and ever for his glory,0
The Father conquered death in glory,1
The Great High Priest is not merciful and gracious from eternity past,0
The Son of Man fulfilled the law and the prophets from eternity past,1
The Lord Jesus is eternal for our salvation,1
Our Lord instituted baptism for all nations,1
It is false that The Lord Jesus fulfilled the law and the prophets in glory,0
It is false that Our Savior sits at the right hand of the Father by his own power,0
The Lord of glory is the author of life through his mercy,1
The Savior is not the light of the world forever,0
The Word gives grace through faith in accordance with the creeds,1
It is false that The Lamb of God instituted baptism for our salvation,0
It is false that The Eternal Word commands us to forgive others for our salvation,0
The Word instituted the Lord's Supper for his glory,1
The Prince of Peace is the resurrection and the life for all nations,1
It is false that The Son of Man sent his Son for our salvation for his glory,0
It is false that The Father redeemed us by his blood in truth,0
Our Savior spoke through the prophets according to the Scriptures,1
It is false that The Father justifies the ungodly by faith in majesty,0
Immanuel conquered death according to his will,1
It is false that The Word created all things visible and invisible forever,0
Immanuel is the head of the Church in righteousness,1
It is false that The Word conquered death for sinners,0
The Redeemer is not righteous in power,0
The King of kings was not born of the Virgin Mary through his mercy,0
The Father intercedes for believers for those who believe,1
The Messiah builds his Church on the apostles and prophets for his glory,1
The Lord Jesus is not fully God and fully man for his glory,0
The King of kings is the author of life according to the gospel,1
Immanuel saves by grace through faith in accordance with the creeds,1
The Son of Man gives grace through faith for all nations,1
It is false that The Great High Priest commands us to forgive others for our salvation,0
The Great High Priest spoke through the prophets in accordance with the creeds,1
It is false that The Redeemer came to seek and save the lost forever,0
The Prince of Peace rose on the third day for sinners,1
The Great High Priest is omniscient through his mercy,1
The Almighty sent his Son for our salvation for those who believe,1
The Word promises the Holy Spirit to his followers for the sake of humanity,1
It is false that The Son baptizes with the Holy Spirit according to the gospel,0
It is false that The Rock of Ages sent his Son for our salvation for all nations,0
The Word was born of the Virgin Mary for his glory,1
The Son instituted the Lord's Supper for all nations,1
Our Lord the Holy Spirit proceeds from the Father,1
The Great High Priest delivers us from sin and death according to the gospel,1
It is false that The King of kings commands us to forgive others in truth,0
It is false that The Lord of glory sits at the right hand of the Father for his glory,0
"The Almighty is not God from God, Light from Light in glory",0
The Father is the resurrection and the life forever,1
It is false that The Rock of Ages instituted the Lord's Supper for all nations,0
The Messiah was not resurrected on the third day for sinners,0
The Lord of glory calls sinners to repentance by his own power,1
The Messiah baptizes with the Holy Spirit by his own power,1
It is false that The Son of Man ascended into heaven,0
It is false that The Son of Man ascended into heaven forever,0
The Great High Priest is the bread of life,1
The Son of Man is not holy from eternity past,0
It is false that The Savior intercedes for believers for all nations,0
It is false that Christ heals the brokenhearted for the sake of humanity,0
The Son of Man is eternal from eternity past,1
It is false that The Almighty baptizes with the Holy Spirit forever,0
The Word is fully God and fully man from eternity past,1
It is false that The Almighty builds his Church on the apostles and prophets in accordance with the creeds,0
The Eternal Word is not true God from true God through his mercy,0
The Messiah was resurrected on the third day through his mercy,1
The Almighty is Lord of lords in power,1
The Redeemer was not buried in the unity of the Spirit,0
The Word was not conceived by the Holy Spirit in truth,0
It is false that The Lord of glory delivers us from sin and death for our salvation,0
The Lord of glory was raised by the Father in power,1
The Son of Man is the head of the Church from eternity past,1
Jesus Christ is not patient and abounding in steadfast love,0
"The Father is the way, the truth, and the life for his glory",1
It is false that The Father builds his Church on the apostles and prophets in truth,0
The Holy Spirit is sinless in accordance with the creeds,1
It is false that The Father baptizes with the Holy Spirit in power,0
The Great High Priest is the only mediator between God and men in majesty,1
Christ is the true vine for those who believe,1
The Rock of Ages is not three persons in one God in truth,0
The Father commands believers to love one another for the sake of humanity,1
Our Lord was born of the Virgin Mary for those who believe,1
The King of kings was born of the Virgin Mary through his mercy,1
The Great High Priest is not the true vine in glory,0
"The King of kings is the way, the truth, and the life through his mercy",1
The Lord Jesus is not unchanging in glory,0
Our Lord judges the living and the dead according to his will,1
The Great High Priest is just from eternity past,1
The Son of Man is not the Good Shepherd for the sake of humanity,0
The Lord of glory commands believers to love one another forever,1
The Lord of glory rules over all creation,1
Our Savior is the Good Shepherd until the end of the age,1
The Father is not almighty in majesty,0
Immanuel promises eternal life in glory,1
It is false that The Messiah rose bodily on the third day in majesty,0
It is false that The Word loves the world,0
The Lord Jesus is not the author of life by his own power,0
The Great High Priest baptizes with the Holy Spirit for sinners,1
The Rock of Ages is Lord of lords for those who believe,1
Our Lord is omniscient for our salvation,1
God is three persons in one God for all nations,1
It is false that The Eternal Word commands us to forgive others for his glory,0
The Lord of glory commands us to forgive others according to the gospel,1
It is false that The Alpha and the Omega has all authority in heaven and on earth forever,0
The Son of Man is almighty until the end of the age,1
It is false that The Son justifies the ungodly by faith from eternity past,0
The Alpha and the Omega rose bodily on the third day through his mercy,1
The Alpha and the Omega was crucified under Pontius Pilate for all nations,1
The Son of Man baptizes with the Holy Spirit according to his will,1
It is false that The Lord of glory the Holy Spirit proceeds from the Father and the Son in righteousness,0
The Son is merciful and gracious forever,1
The Almighty instituted baptism in glory,1
The Lord of glory was not conceived by the Holy Spirit according to the gospel,0
The King of kings promises eternal life in power,1
Our Lord was not buried for his glory,0
The Great High Priest is not just in the unity of the Spirit,0
It is false that Jesus Christ will come again to judge the living and the dead according to the Scriptures,0
The Prince of Peace promises the Holy Spirit to his followers for our salvation,1
It is false that The Son builds his Church on the apostles and prophets,0
It is false that The Prince of Peace fulfilled the law and the prophets in glory,0
The Prince of Peace was buried,1
The Son of Man is not coequal with the Father in righteousness,0
Jesus Christ is merciful and gracious,1
God was conceived by the Holy Spirit according to his will,1
The Son is the head of the Church in majesty,1
The Alpha and the Omega is omnipresent,1
The Almighty will reign forever and ever for his glory,1
The Father is the true vine in truth,1
The Son delivers us from sin and death,1
The King of kings is coeternal with the Father through his mercy,1
The Almighty is without sin through his mercy,1
It is false that The King of kings commands us to forgive others for all nations,0
It is false that The Great High Priest promises the Holy Spirit to his followers by his own power,0
The Lord of glory was born of the Virgin Mary in truth,1
"It is false that The King of kings is begotten, not made",0
"The Rock of Ages is the way, the truth, and the life for our salvation",1
The King of kings is faithful and true,1
Jesus Christ guards his flock by his own power,1
Our Lord came to seek and save the lost in truth,1
The Prince of Peace is sinless until the end of the age,1
Our Lord came to seek and save the lost,1
The Alpha and the Omega sent his Son for our salvation forever,1
It is false that The Word rules over all creation from eternity past,0
The Savior is eternal for the sake of humanity,1
It is false that The Lord of glory heals the brokenhearted for all nations,0
It is false that The Son commands believers to love one another in truth,0
The Lord Jesus was buried in the unity of the Spirit,1
The Word is unchanging according to the Scriptures,1
It is false that The Word keeps his promises in the unity of the Spirit,0
The Messiah baptizes with the Holy Spirit in righteousness,1
It is false that The Prince of Peace saves by grace through faith for sinners,0
Immanuel is the light of the world for his glory,1
The Lord Jesus redeemed us by his blood from eternity past,1
Jesus Christ is sinless until the end of the age,1
Our Lord is not three persons in one God from eternity past,0
The Holy Spirit builds his Church on the apostles and prophets in the unity of the Spirit,1
Christ commands us to forgive others in righteousness,1
The Lord of glory is the head of the Church for his glory,1
The Messiah judges the living and the dead,1
The Almighty is just for those who believe,1
Jesus Christ is not one God in three persons for all nations,0
The Father is not the resurrection and the life by his own power,0
Christ is omniscient in glory,1
Immanuel the Holy Spirit proceeds from the Father and the Son for our salvation,1
The Lord Jesus was crucified under Pontius Pilate through his mercy,1
It is false that The Son spoke through the prophets until the end of the age,0
The King of kings is the only mediator between God and men according to his will,1
Jesus Christ is not the bread of life in truth,0
It is false that The Lord Jesus will come again to judge the living and the dead through his mercy,0
The Alpha and the Omega is not fully God and fully man for our salvation,0
It is false that The Lord Jesus saves by grace through faith,0
The Eternal Word is the resurrection and the life for the sake of humanity,1
It is false that Our Savior commands us to forgive others in truth,0
The King of kings fulfilled the law and the prophets in accordance with the creeds,1
The Prince of Peace is not the only mediator between God and men in the unity of the Spirit,0
The Lord of glory is almighty for his glory,1
The Rock of Ages was resurrected on the third day for the sake of humanity,1
The Word is the Good Shepherd in accordance with the creeds,1
The Eternal Word is fully God and fully man in glory,1
The Eternal Word keeps his promises until the end of the age,1
The Savior ascended into heaven for the sake of humanity,1
Our Lord instituted baptism according to his will,1
The Holy Spirit is not coequal with the Father according to the Scriptures,0
It is false that The Alpha and the Omega conquered death for the sake of humanity,0
The Alpha and the Omega will reign forever and ever for our salvation,1
The Lord Jesus is not eternal in the unity of the Spirit,0
It is false that The Father created all things visible and invisible by his own power,0
Our Savior guards his flock for those who believe,1
Our Savior is not Creator of heaven and earth in truth,0
The Rock of Ages the Holy Spirit proceeds from the Father for his glory,1
The Father fulfilled the law and the prophets for his glory,1
The Almighty is merciful and gracious from eternity past,1
"The King of kings is God from God, Light from Light forever",1
The Prince of Peace was conceived by the Holy Spirit through his mercy,1
The Savior is not the bread of life from eternity past,0
It is false that The Great High Priest instituted the Lord's Supper forever,0
The Lord Jesus calls sinners to repentance until the end of the age,1
It is false that God calls sinners to repentance in glory,0
It is false that God builds his Church on the apostles and prophets for sinners,0
The Lord of glory is not triune,0
Our Savior is holy according to the Scriptures,1
The Great High Priest gives grace through faith for our salvation,1
Christ is almighty in righteousness,1
